tree,plot,treeno,height_m,barcode,file
10820,108,20,0.1,23902,23902.tif
10820,108,20,1.4,23903,23903.tif
10820,108,20,2.4,23906,23906.tif
11117,111,17,1.4,23881,23881.tif
11117,111,17,3.3,23884,23884.tif
11117,111,17,4.3,23885,23885.tif
11117,111,17,5.3,23888,23888.tif
12243,122,43,1.4,23873,23873.tif
12243,122,43,2.4,23875,23875.tif
12243,122,43,3.4,23877,23877.tif
12243,122,43,4.4,23879,23879.tif
12603,126,03,1.4,23833,23833.tif
12603,126,03,3.1,23835,23835.tif
12603,126,03,4.1,23837,23837.tif
12603,126,03,5.1,23839,23839.tif
12603,126,03,6.1,23841,23841.tif
1539,15,39,1.4,23731,23731.tif
1539,15,39,4,23729,23729.tif
1539,15,39,5,23727,23727.tif
1539,15,39,6,23725,23725.tif
3615,36,15,1.4,23805,23805.tif
3615,36,15,4,23804,23804.tif
3615,36,15,5,23802,23802.tif
3615,36,15,6,23723,23723.tif
3726,37,26,1.6,23816,23816.tif
3726,37,26,4.6,23818,23818.tif
3726,37,26,5.6,23820,23820.tif
3726,37,26,6.6,23821,23821.tif
3726,37,26,7.6,23823,23823.tif
4802,48,02,1.4,23814,23814.tif
4802,48,02,5.4,23811,23811.tif
4802,48,02,6.4,23809,23809.tif
4802,48,02,7.4,23807,23807.tif
6610,66,10,1.4,23843,23843.tif
6610,66,10,3.8,23845,23845.tif
6610,66,10,4.8,23847,23847.tif
6610,66,10,5.8,23849,23849.tif
7308,73,08,3.4,23713,23713.tif
7308,73,08,4.4,23715,23715.tif
7308,73,08,5.4,23717,23717.tif
7308,73,08,6.4,23719,23719.tif
7308,73,08,7.4,23721,23721.tif
7308,73,08,8.4,23735,23735.tif
7308,73,08,9.4,23732,23732.tif
8249,82,49,0.12,23896,23896.tif
8249,82,49,1.12,23898,23898.tif
8249,82,49,1.4,23900,23900.tif
8430,84,30,0.3,23890,23890.tif
8430,84,30,1.4,23892,23892.tif
8430,84,30,2.3,23894,23894.tif
8627,86,27,1.4,23865,23865.tif
8627,86,27,3.4,23867,23867.tif
8627,86,27,4.4,23869,23869.tif
8627,86,27,5.4,23871,23871.tif
8714,87,14,1.4,23825,23825.tif
8714,87,14,2,23827,23827.tif
8714,87,14,3,23829,23829.tif
8714,87,14,4,23831,23831.tif
prune,prune,,1.4,23851,23851.tif
prune,prune,,2.5,23853,23853.tif
prune,prune,,3.5,23855,23855.tif
prune,prune,,4.5,23857,23857.tif
prune,prune,,5.5,23859,23859.tif
prune,prune,,6.5,23861,23861.tif
prune,prune,,7.5,23863,23863.tif
